date,pf_close,gd_close
2016-01-04,12.51,4.11
2016-01-05,12.62,4.13
2016-01-06,12.72,4.18
2016-01-07,12.3,4.01
2016-01-08,12.29,4.08
2016-01-11,11.98,3.91
2016-01-12,12.26,3.93
2016-01-13,12.22,3.88
2016-01-14,12.59,3.88
2016-01-15,12.35,3.75
2016-01-18,12.42,3.72
2016-01-19,12.49,3.79
2016-01-20,12.12,3.74
2016-01-21,11.65,3.73
2016-01-22,11.96,3.76
2016-01-25,11.97,3.76
2016-01-26,11.71,3.56
2016-01-27,11.72,3.57
2016-01-28,11.65,3.5
2016-01-29,11.88,3.62
2016-02-01,11.59,3.52
2016-02-02,11.78,3.55
2016-02-03,11.67,3.53
2016-02-04,12.16,3.56
2016-02-05,12.92,3.54
2016-02-15,12.96,3.5
2016-02-16,12.96,3.6
2016-02-17,12.96,3.61
2016-02-18,12.96,3.62
2016-02-19,12.96,3.6
2016-02-22,12.96,3.67
2016-02-23,12.96,3.61
2016-02-24,12.96,3.61
2016-02-25,12.96,3.42
2016-02-26,12.96,3.47
2016-02-29,12.96,3.44
2016-03-01,12.96,3.46
2016-03-02,12.96,3.55
2016-03-03,12.96,3.6
2016-03-04,12.96,3.78
2016-03-07,12.96,3.75
2016-03-08,12.96,3.77
2016-03-09,12.96,3.78
2016-03-10,12.96,3.69
2016-03-11,11.92,3.73
2016-03-14,11.85,3.73
2016-03-15,11.96,3.73
2016-03-16,12.67,3.8
2016-03-17,12.44,3.79
2016-03-18,12.54,3.79
2016-03-21,12.69,3.8
2016-03-22,12.75,3.81
2016-03-23,12.74,3.79
2016-03-24,12.45,3.73
2016-03-25,12.47,3.75
2016-03-28,12.26,3.73
2016-03-29,12.26,3.72
2016-03-30,12.56,3.8
2016-03-31,12.6,3.8
2016-04-01,12.77,3.83
2016-04-05,12.77,3.84
2016-04-06,12.62,3.82
2016-04-07,12.43,3.78
2016-04-08,12.37,3.77
2016-04-11,12.42,3.8
2016-04-12,12.38,3.79
2016-04-13,12.47,3.83
2016-04-14,12.51,3.84
2016-04-15,12.57,3.83
2016-04-18,12.51,3.78
2016-04-19,12.58,3.77
2016-04-20,12.62,3.74
2016-04-21,12.73,3.72
2016-04-22,12.82,3.72
2016-04-25,12.56,3.7
2016-04-26,12.59,3.7
2016-04-27,12.55,3.7
2016-04-28,12.58,3.73
2016-04-29,12.53,3.7
2016-05-03,12.73,3.74
2016-05-04,12.7,3.73
2016-05-05,12.69,3.74
2016-05-06,12.46,3.68
2016-05-09,12.3,3.61
2016-05-10,12.28,3.6
2016-05-11,12.26,3.62
2016-05-12,12.23,3.6
2016-05-13,12.11,3.59
2016-05-16,12.15,3.6
2016-05-17,12.12,3.56
2016-05-18,12.34,3.56
2016-05-19,12.19,3.55
2016-05-20,12.26,3.57
2016-05-23,12.33,3.59
2016-05-24,12.33,3.57
2016-05-25,12.42,3.6
2016-05-26,12.44,3.6
2016-05-27,12.47,3.6
2016-05-30,12.61,3.65
2016-05-31,12.85,3.76
2016-06-01,12.85,3.75
2016-06-02,12.66,3.73
2016-06-03,12.66,3.77
2016-06-06,12.66,3.75
2016-06-07,12.66,3.75
2016-06-08,12.64,3.75
2016-06-13,12.49,3.68
2016-06-14,12.5,3.7
2016-06-15,12.47,3.71
2016-06-16,12.51,3.68
2016-06-17,12.49,3.69
2016-06-20,12.54,3.67
2016-06-21,12.49,3.69
2016-06-22,12.57,3.72
2016-06-23,12.51,3.72
2016-06-24,12.16,3.69
2016-06-27,12.19,3.74
2016-06-28,12.16,3.76
2016-06-29,12.34,3.79
2016-06-30,12.39,3.81
2016-07-01,12.67,3.86
2016-07-04,12.68,3.87
2016-07-05,12.57,3.85
2016-07-06,12.45,3.86
2016-07-07,12.39,3.89
2016-07-08,12.3,3.87
2016-07-11,12.28,3.89
2016-07-12,12.45,3.95
2016-07-13,12.57,3.99
2016-07-14,12.5,3.99
2016-07-15,12.5,4.06
2016-07-18,12.55,4.12
2016-07-19,12.52,4.06
2016-07-20,12.54,4.05
2016-07-21,12.6,4.04
2016-07-22,12.44,4.06
2016-07-25,12.49,4.13
2016-07-26,12.53,4.17
2016-07-27,12.63,4.13
2016-07-28,12.48,4.06
2016-07-29,12.5,4.09
2016-08-01,12.58,4.11
2016-08-02,12.54,4.09
2016-08-03,12.47,4.06
2016-08-04,12.41,4.06
2016-08-05,12.52,4.09
2016-08-08,12.53,4.09
2016-08-09,12.57,4.11
2016-08-10,12.6,4.12
2016-08-11,12.79,4.16
2016-08-12,13.02,4.32
2016-08-15,13.48,4.47
2016-08-16,13.29,4.38
2016-08-17,13.24,4.31
2016-08-18,13.09,4.3
2016-08-19,13.07,4.31
2016-08-22,13.06,4.29
2016-08-23,13.05,4.28
2016-08-24,13.05,4.28
2016-08-25,13.01,4.25
2016-08-26,13.01,4.21
2016-08-29,13.01,4.15
2016-08-30,13.14,4.17
2016-08-31,13.21,4.18
2016-09-01,13.15,4.18
2016-09-02,13.21,4.18
2016-09-05,13.21,4.18
2016-09-06,13.15,4.15
2016-09-07,13.21,4.15
2016-09-08,13.3,4.14
2016-09-09,13.27,4.1
2016-09-12,13.14,4.0
2016-09-13,13.18,4.02
2016-09-14,13.14,3.97
2016-09-19,13.19,4.01
2016-09-20,13.19,4.0
2016-09-21,13.18,4.01
2016-09-22,13.25,4.02
2016-09-23,13.21,4.03
2016-09-26,13.21,3.97
2016-09-27,13.21,4.01
2016-09-28,13.21,3.98
2016-09-29,13.22,4.02
2016-09-30,13.21,4.03
2016-10-10,13.26,4.06
2016-10-11,13.28,4.04
2016-10-12,13.23,4.01
2016-10-13,13.17,4.02
2016-10-14,13.19,4.01
2016-10-17,13.04,3.98
2016-10-18,13.09,4.02
2016-10-19,13.04,4.04
2016-10-20,13.05,4.04
2016-10-21,13.05,4.06
2016-10-24,13.2,4.13
2016-10-25,13.16,4.12
2016-10-26,13.08,4.06
2016-10-27,12.97,4.04
2016-10-28,13.05,4.06
2016-10-31,13.04,4.05
2016-11-01,13.06,4.12
2016-11-02,12.98,4.06
2016-11-03,13.1,4.09
2016-11-04,13.14,4.1
2016-11-07,13.16,4.12
2016-11-08,13.2,4.13
2016-11-09,13.19,4.11
2016-11-10,13.28,4.15
2016-11-11,13.29,4.16
2016-11-14,13.3,4.18
2016-11-15,13.29,4.16
2016-11-16,13.3,4.14
2016-11-17,13.3,4.14
2016-11-18,13.3,4.11
2016-11-21,13.33,4.16
2016-11-22,13.37,4.23
2016-11-23,13.57,4.3
2016-11-24,13.53,4.33
2016-11-25,13.7,4.4
2016-11-28,13.79,4.42
2016-11-29,13.83,4.43
2016-11-30,13.75,4.35
2016-12-01,13.74,4.37
2016-12-02,13.7,4.34
2016-12-05,13.86,4.32
2016-12-06,13.8,4.29
2016-12-07,13.68,4.28
2016-12-08,13.74,4.31
2016-12-09,13.9,4.46
2016-12-12,14.02,4.45
2016-12-13,13.76,4.39
2016-12-14,13.77,4.42
2016-12-15,13.38,4.23
2016-12-16,13.35,4.2
2016-12-19,13.24,4.19
2016-12-20,13.05,4.15
2016-12-21,13.08,4.18
2016-12-22,12.97,4.15
2016-12-23,12.97,4.14
2016-12-26,13.02,4.15
2016-12-27,12.93,4.13
2016-12-28,12.89,4.13
2016-12-29,12.88,4.14
2016-12-30,12.99,4.16
